KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
578762,Slatina,124,83,81,3 %,"3,70 %",0 %,"0,00 %",0 %,"0,00 %",6 %,"7,40 %",1 %,"1,23 %",6 %,"7,40 %",10 %,"12,34 %",1 %,"1,23 %",1 %,"1,23 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
580325,Sloupnice,1†367,863,859,47 %,"5,47 %",0 %,"0,00 %",0 %,"0,00 %",55 %,"6,40 %",1 %,"0,11 %",127 %,"14,78 %",33 %,"3,84 %",6 %,"0,69 %",10 %,"1,16 %",14 %,"1,62 %",1 %,"0,11 %",0 %,"0,00 %"
578789,StarÈ MÏsto,787,452,451,30 %,"6,65 %",3 %,"0,66 %",0 %,"0,00 %",34 %,"7,53 %",2 %,"0,44 %",8 %,"1,77 %",55 %,"12,19 %",10 %,"2,21 %",7 %,"1,55 %",7 %,"1,55 %",0 %,"0,00 %",0 %,"0,00 %"
578801,Staöov,206,108,107,7 %,"6,54 %",0 %,"0,00 %",0 %,"0,00 %",8 %,"7,47 %",0 %,"0,00 %",1 %,"0,93 %",4 %,"3,73 %",1 %,"0,93 %",2 %,"1,86 %",2 %,"1,86 %",0 %,"0,00 %",0 %,"0,00 %"
578819,Strakov,191,127,126,8 %,"6,34 %",1 %,"0,79 %",0 %,"0,00 %",8 %,"6,34 %",1 %,"0,79 %",9 %,"7,14 %",5 %,"3,96 %",0 %,"0,00 %",7 %,"5,55 %",0 %,"0,00 %",1 %,"0,79 %",0 %,"0,00 %"
578835,Such· Lhota,76,54,54,8 %,"14,81 %",0 %,"0,00 %",0 %,"0,00 %",4 %,"7,40 %",0 %,"0,00 %",11 %,"20,37 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
577731,Svitavy,13†548,7†953,7†905,742 %,"9,38 %",8 %,"0,10 %",3 %,"0,03 %",777 %,"9,82 %",6 %,"0,07 %",185 %,"2,34 %",737 %,"9,32 %",98 %,"1,23 %",139 %,"1,75 %",102 %,"1,29 %",1 %,"0,01 %",7 %,"0,08 %"
578843,Svojanov,321,235,233,41 %,"17,59 %",0 %,"0,00 %",0 %,"0,00 %",16 %,"6,86 %",0 %,"0,00 %",6 %,"2,57 %",10 %,"4,29 %",3 %,"1,28 %",3 %,"1,28 %",12 %,"5,15 %",0 %,"0,00 %",0 %,"0,00 %"
578851,äirok˝ D˘l,328,201,200,25 %,"12,50 %",0 %,"0,00 %",0 %,"0,00 %",8 %,"4,00 %",0 %,"0,00 %",14 %,"7,00 %",8 %,"4,00 %",5 %,"2,50 %",1 %,"0,50 %",5 %,"2,50 %",0 %,"0,00 %",0 %,"0,00 %"
578860,ätudlov,111,71,71,9 %,"12,67 %",0 %,"0,00 %",0 %,"0,00 %",6 %,"8,45 %",0 %,"0,00 %",2 %,"2,81 %",15 %,"21,12 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
